date,cpi
2022-09-08,296.341
2022-09-09,296.341
2022-09-10,296.341
2022-09-11,296.341
2022-09-12,296.341
2022-09-13,296.341
2022-09-14,296.341
2022-09-15,296.341
2022-09-16,296.341
2022-09-17,296.341
2022-09-18,296.341
2022-09-19,296.341
2022-09-20,296.341
2022-09-21,296.341
2022-09-22,296.341
2022-09-23,296.341
2022-09-24,296.341
2022-09-25,296.341
2022-09-26,296.341
2022-09-27,296.341
2022-09-28,296.341
2022-09-29,296.341
2022-09-30,296.341
2022-10-01,297.863
2022-10-02,297.863
2022-10-03,297.863
2022-10-04,297.863
2022-10-05,297.863
2022-10-06,297.863
2022-10-07,297.863
2022-10-08,297.863
2022-10-09,297.863
2022-10-10,297.863
2022-10-11,297.863
2022-10-12,297.863
2022-10-13,297.863
2022-10-14,297.863
2022-10-15,297.863
2022-10-16,297.863
2022-10-17,297.863
2022-10-18,297.863
2022-10-19,297.863
2022-10-20,297.863
2022-10-21,297.863
2022-10-22,297.863
2022-10-23,297.863
2022-10-24,297.863
2022-10-25,297.863
2022-10-26,297.863
2022-10-27,297.863
2022-10-28,297.863
2022-10-29,297.863
2022-10-30,297.863
2022-10-31,297.863
2022-11-01,298.648
2022-11-02,298.648
2022-11-03,298.648
2022-11-04,298.648
2022-11-05,298.648
2022-11-06,298.648
2022-11-07,298.648
2022-11-08,298.648
2022-11-09,298.648
2022-11-10,298.648
2022-11-11,298.648
2022-11-12,298.648
2022-11-13,298.648
2022-11-14,298.648
2022-11-15,298.648
2022-11-16,298.648
2022-11-17,298.648
2022-11-18,298.648
2022-11-19,298.648
2022-11-20,298.648
2022-11-21,298.648
2022-11-22,298.648
2022-11-23,298.648
2022-11-24,298.648
2022-11-25,298.648
2022-11-26,298.648
2022-11-27,298.648
2022-11-28,298.648
2022-11-29,298.648
2022-11-30,298.648
2022-12-01,298.812
2022-12-02,298.812
2022-12-03,298.812
2022-12-04,298.812
2022-12-05,298.812
2022-12-06,298.812
2022-12-07,298.812
2022-12-08,298.812
2022-12-09,298.812
2022-12-10,298.812
2022-12-11,298.812
2022-12-12,298.812
2022-12-13,298.812
2022-12-14,298.812
2022-12-15,298.812
2022-12-16,298.812
2022-12-17,298.812
2022-12-18,298.812
2022-12-19,298.812
2022-12-20,298.812
2022-12-21,298.812
2022-12-22,298.812
2022-12-23,298.812
2022-12-24,298.812
2022-12-25,298.812
2022-12-26,298.812
2022-12-27,298.812
2022-12-28,298.812
2022-12-29,298.812
2022-12-30,298.812
2022-12-31,298.812
2023-01-01,300.356
2023-01-02,300.356
2023-01-03,300.356
2023-01-04,300.356
2023-01-05,300.356
2023-01-06,300.356
2023-01-07,300.356
2023-01-08,300.356
2023-01-09,300.356
2023-01-10,300.356
2023-01-11,300.356
2023-01-12,300.356
2023-01-13,300.356
2023-01-14,300.356
2023-01-15,300.356
2023-01-16,300.356
2023-01-17,300.356
2023-01-18,300.356
2023-01-19,300.356
2023-01-20,300.356
2023-01-21,300.356
2023-01-22,300.356
2023-01-23,300.356
2023-01-24,300.356
2023-01-25,300.356
2023-01-26,300.356
2023-01-27,300.356
2023-01-28,300.356
2023-01-29,300.356
2023-01-30,300.356
2023-01-31,300.356
2023-02-01,301.509
2023-02-02,301.509
2023-02-03,301.509
2023-02-04,301.509
2023-02-05,301.509
2023-02-06,301.509
2023-02-07,301.509
2023-02-08,301.509
2023-02-09,301.509
2023-02-10,301.509
2023-02-11,301.509
2023-02-12,301.509
2023-02-13,301.509
2023-02-14,301.509
2023-02-15,301.509
2023-02-16,301.509
2023-02-17,301.509
2023-02-18,301.509
2023-02-19,301.509
2023-02-20,301.509
2023-02-21,301.509
2023-02-22,301.509
2023-02-23,301.509
2023-02-24,301.509
2023-02-25,301.509
2023-02-26,301.509
2023-02-27,301.509
2023-02-28,301.509
2023-03-01,301.744
2023-03-02,301.744
2023-03-03,301.744
2023-03-04,301.744
2023-03-05,301.744
2023-03-06,301.744
2023-03-07,301.744
2023-03-08,301.744
2023-03-09,301.744
2023-03-10,301.744
2023-03-11,301.744
2023-03-12,301.744
2023-03-13,301.744
2023-03-14,301.744
2023-03-15,301.744
2023-03-16,301.744
2023-03-17,301.744
2023-03-18,301.744
2023-03-19,301.744
2023-03-20,301.744
2023-03-21,301.744
2023-03-22,301.744
2023-03-23,301.744
2023-03-24,301.744
2023-03-25,301.744
2023-03-26,301.744
2023-03-27,301.744
2023-03-28,301.744
2023-03-29,301.744
2023-03-30,301.744
2023-03-31,301.744
2023-04-01,303.032
2023-04-02,303.032
2023-04-03,303.032
2023-04-04,303.032
2023-04-05,303.032
2023-04-06,303.032
2023-04-07,303.032
2023-04-08,303.032
2023-04-09,303.032
2023-04-10,303.032
2023-04-11,303.032
2023-04-12,303.032
2023-04-13,303.032
2023-04-14,303.032
2023-04-15,303.032
2023-04-16,303.032
2023-04-17,303.032
2023-04-18,303.032
2023-04-19,303.032
2023-04-20,303.032
2023-04-21,303.032
2023-04-22,303.032
2023-04-23,303.032
2023-04-24,303.032
2023-04-25,303.032
2023-04-26,303.032
2023-04-27,303.032
2023-04-28,303.032
2023-04-29,303.032
2023-04-30,303.032
2023-05-01,303.365
2023-05-02,303.365
2023-05-03,303.365
2023-05-04,303.365
2023-05-05,303.365
2023-05-06,303.365
2023-05-07,303.365
2023-05-08,303.365
2023-05-09,303.365
2023-05-10,303.365
2023-05-11,303.365
2023-05-12,303.365
2023-05-13,303.365
2023-05-14,303.365
2023-05-15,303.365
2023-05-16,303.365
2023-05-17,303.365
2023-05-18,303.365
2023-05-19,303.365
2023-05-20,303.365
2023-05-21,303.365
2023-05-22,303.365
2023-05-23,303.365
2023-05-24,303.365
2023-05-25,303.365
2023-05-26,303.365
2023-05-27,303.365
2023-05-28,303.365
2023-05-29,303.365
2023-05-30,303.365
2023-05-31,303.365
2023-06-01,304.003
2023-06-02,304.003
2023-06-03,304.003
2023-06-04,304.003
2023-06-05,304.003
2023-06-06,304.003
2023-06-07,304.003
2023-06-08,304.003
2023-06-09,304.003
2023-06-10,304.003
2023-06-11,304.003
2023-06-12,304.003
2023-06-13,304.003
2023-06-14,304.003
2023-06-15,304.003
2023-06-16,304.003
2023-06-17,304.003
